NR.;CODICE UNIONE;REGIONE;PROVINCIA;DESCRIZIONE UNIONE DI COMUNI;DATA COSTITUZIONE;NR. COMUNI;COMUNI APPARTENENTI ALL'UNIONE;POP. UOMINI;POP. DONNE;POP. TOTALE
8;;;;;;;MELDOLA;4.891;5.109;10.000
9;;;;;;;MODIGLIANA;2.348;2.378;4.726
10;;;;;;;PORTICO E SAN BENEDETTO;380;389;769
11;;;;;;;PREDAPPIO;3.228;3.291;6.519
12;;;;;;;PREMILCUORE;403;400;803
13;;;;;;;ROCCA SAN CASCIANO;960;1.040;2.000
14;;;;;;;SANTA SOFIA;2.045;2.148;4.193
15;;;;;;;TREDOZIO;627;632;1.259
0;2080326050;EMILIA-ROMAGNA;FORLI'-CESENA;VALLE DEL SAVIO;1-Gen-2014;6;;56.435;59.967;116.402
1;;;;;;;BAGNO DI ROMAGNA;2.985;3.153;6.138
2;;;;;;;CESENA;46.302;49.688;95.990
3;;;;;;;MERCATO SARACENO;3.520;3.477;6.997
4;;;;;;;MONTIANO;834;867;1.701
5;;;;;;;SARSINA;1.785;1.817;3.602
6;;;;;;;VERGHERETO;1.009;965;1.974
0;2080506010;EMILIA-ROMAGNA;MODENA;DEL SORBARA;1-Gen-2000;3;;9.926;9.985;19.911
1;;;;;;;BASTIGLIA;1.993;1.992;3.985
2;;;;;;;BOMPORTO;4.877;4.884;9.761
3;;;;;;;RAVARINO;3.056;3.109;6.165
0;2080506020;EMILIA-ROMAGNA;MODENA;TERRE DI CASTELLI;1-Gen-2001;5;;34.934;35.944;70.878
1;;;;;;;CASTELNUOVO RANGONE;7.064;7.052;14.116
2;;;;;;;CASTELVETRO DI MODENA;5.495;5.517;11.012
3;;;;;;;SAVIGNANO SUL PANARO;4.569;4.707;9.276
4;;;;;;;SPILAMBERTO;6.066;6.064;12.130
